textbox12,UnitName,textbox18,EventTime,GeofenceName,GeofenceEvent1,Schedule
Group: ,Unit:ZNL193,,29/08/2024 12:22:04 p.m.,Bascula Auto Sur : Bogotá 110611,OUT,
Group: ,Unit:ZNL193,,29/08/2024 10:05:03 p.m.,EDS San Pedro : San Pedro,IN,
Group: ,Unit:ZNL193,,29/08/2024 10:07:03 p.m.,EDS San Pedro : San Pedro,OUT,
Group: ,Unit:ZNL193,,7/09/2024 6:14:16 a.m.,Bascula Auto Sur : Bogotá 110611,IN,
Group: ,Unit:ZNL193,,7/09/2024 7:04:43 a.m.,Bascula Auto Sur : Bogotá 110611,OUT,
Group: ,Unit:ZNL193,,9/09/2024 9:42:00 a.m.,Bascula Auto Sur : Bogotá 110611,IN,
Group: ,Unit:ZNL193,,9/09/2024 10:06:21 a.m.,Bascula Auto Sur : Bogotá 110611,OUT,
Group: ,Unit:ZNL193,,9/09/2024 7:41:00 p.m.,PEAJE GUALANDAY ,IN,
Group: ,Unit:ZNL193,,9/09/2024 7:41:21 p.m.,PEAJE GUALANDAY ,OUT,
Group: ,Unit:ZNL193,,10/09/2024 9:43:47 p.m.,EDS San Pedro : San Pedro,IN,
Group: ,Unit:ZNL193,,10/09/2024 9:45:48 p.m.,EDS San Pedro : San Pedro,OUT,
Group: ,Unit:ZNL193,,10/09/2024 10:47:57 p.m.,PEAJE DE LA URIBE,IN,
Group: ,Unit:ZNL193,,10/09/2024 10:49:57 p.m.,PEAJE DE LA URIBE,OUT,
Group: ,Unit:ZNL193,,12/09/2024 1:57:00 a.m.,PEAJE CERRITOS RISARALDA,IN,
Group: ,Unit:ZNL193,,12/09/2024 1:59:34 a.m.,PEAJE CERRITOS RISARALDA,OUT,
Group: ,Unit:ZNL193,,12/09/2024 3:57:29 a.m.,PEAJE SAN PEDRO ,IN,
Group: ,Unit:ZNL193,,12/09/2024 3:58:25 a.m.,PEAJE SAN PEDRO ,OUT,
Group: ,Unit:ZNL193,,13/09/2024 11:19:00 a.m.,"PEAJE CIAT  : Carrera 19 #16-3 a 16-257, Palmira, Palmira, Valle del Cauca, Colombia",IN,
Group: ,Unit:ZNL193,,13/09/2024 11:20:29 a.m.,PEAJE CIAT ,OUT,
Group: ,Unit:ZNL193,,13/09/2024 11:38:58 a.m.,perimetro urbano,IN,
Group: ,Unit:ZNL193,,13/09/2024 12:09:48 p.m.,Sun Chemical Tintas,OUT,
Group: ,Unit:ZNL193,,13/09/2024 1:32:02 p.m.,Sun Chemical Tintas,IN,
Group: ,Unit:ZNL193,,13/09/2024 3:17:56 p.m.,Sun Chemical Tintas,OUT,
Group: ,Unit:ZNL193,,13/09/2024 3:28:55 p.m.,perimetro urbano,OUT,
Group: ,Unit:ZNL193,,16/09/2024 2:35:00 p.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,16/09/2024 2:35:50 p.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,18/09/2024 5:04:58 p.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,18/09/2024 5:05:00 p.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,18/09/2024 6:35:07 p.m.,PEAJE DE LA URIBE,IN,
Group: ,Unit:ZNL193,,18/09/2024 6:37:07 p.m.,PEAJE DE LA URIBE,OUT,
Group: ,Unit:ZNL193,,19/09/2024 10:46:09 p.m.,EDS San Pedro : San Pedro,IN,
Group: ,Unit:ZNL193,,19/09/2024 10:48:09 p.m.,EDS San Pedro : San Pedro,OUT,
Group: ,Unit:ZNL193,,19/09/2024 11:22:05 p.m.,PEAJE EL CERRITO ,IN,
Group: ,Unit:ZNL193,,19/09/2024 11:23:00 p.m.,PEAJE EL CERRITO ,OUT,
Group: ,Unit:ZNL193,,23/09/2024 4:56:03 p.m.,PEAJE SAN PEDRO ,IN,
Group: ,Unit:ZNL193,,23/09/2024 4:58:15 p.m.,PEAJE SAN PEDRO ,OUT,
Group: ,Unit:ZNL193,,24/09/2024 6:26:55 a.m.,Panamericana de Alimentos,IN,
Group: ,Unit:ZNL193,,24/09/2024 8:22:00 a.m.,Panamericana de Alimentos,OUT,
Group: ,Unit:ZNL193,,24/09/2024 8:28:39 a.m.,Panamericana de Alimentos,IN,
Group: ,Unit:ZNL193,,24/09/2024 8:31:27 a.m.,Panamericana de Alimentos,OUT,
Group: ,Unit:ZNL193,,25/09/2024 6:20:31 a.m.,PEAJE SAN PEDRO ,IN,
